system:index,B1,B2,B3,B4,B5,B6,B7,ampNdvi,baseMsavi,baseNdvi,class,latitude,longitude,maxMndwi,maxMsavi,maxNdvi,poly_id,slope,year_id,.geo
0000000000000000007f_11,0.0725857142857142,0.0919333333333333,0.1363,0.1612,0.18085,0.2195625,0.21245,0.112138234,-2.4795746053074552e-06,-0.0072804135,residential,-17.950899575267783,-67.11183231940748,0.28799444,9.639509344183672e-06,0.10485782,0000000000000000007f,0.97485614,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.11183231940748,-17.950899575267783]}"
00000000000000000075_30,0.0028764705882352,0.010576,0.0296,0.0130499999999999,0.0056333333333333,0.011425,0.011375,1.2819277,-5.339204676269027e-06,-1.0,water,-16.40696509645156,-69.01958448829211,0.9444444,1.4099272749312776e-05,0.2819277,00000000000000000075,0.0,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.01958448829211,-16.40696509645156]}"
0000000000000000001a_489,0.0739,0.0896,0.1339,0.1689,0.2604,0.3126,0.2523,0.34308606,-1.839736881281695e-06,-0.006474314,rocky,-17.51189289591857,-70.13124965239003,0.18258567,2.737926128731916e-05,0.33661175,0000000000000000001a,33.18355,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.13124965239003,-17.51189289591857]}"
00000000000000000055_86,-0.0025833333333333,0.0032791666666666,0.0190285714285714,0.0175454545454545,0.0293333333333333,0.0054176470588235,0.0048571428571428,1.399018,-8.378347971182976e-06,-0.9777778,water,-16.53308856234194,-68.8616606613439,0.9478261,1.3359651842903553e-05,0.4212402,00000000000000000055,0.0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.8616606613439,-16.53308856234194]}"
0000000000000000001b_314,0.0707,0.0822,0.1171,0.1599,0.2257,0.2728,0.2277,0.29467916,-2.999611010690018e-07,-0.0011580329,rocky,-17.490872318270174,-70.15092275711224,0.22383222,2.083947733499958e-05,0.29352114,0000000000000000001b,22.20285,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.15092275711224,-17.490872318270174]}"
0000000000000000001a_497,0.0668,0.0839,0.1233,0.16,0.2469,0.3289,0.2578,0.43038902,-2.899554513713376e-06,-0.009527564,rocky,-17.51189289591857,-70.12909369570814,0.18957493,3.2698680892062626e-05,0.42086145,0000000000000000001a,29.25569,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.12909369570814,-17.51189289591857]}"
00000000000000000024_62,0.0509,0.0674,0.0985666666666666,0.1271499999999999,0.1536,0.1709,0.1485,0.14192893,-5.438711685012976e-06,-0.0142012555,rocky,-16.979102100907284,-69.88843503109251,0.42106548,8.79966015410183e-06,0.12772767,00000000000000000024,23.851501,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.88843503109251,-16.979102100907284]}"
000000000000000001d9_0,0.0504625,0.0683666666666666,0.09935,0.13125,0.2095666666666666,0.26555,0.21115,0.39405066,-3.439412894268301e-06,-0.01017872,1,-17.570103726329517,-67.07221661537781,0.64204824,2.603902403197633e-05,0.38387194,crop_370,6.5364184,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.07221661537781,-17.570103726329517]}"
00000000000000000057_6,0.0252833333333333,0.045275,0.0875,0.0884,0.0137,0.0016977777777777,0.0024785714285714,1.1339906,-2.057939456667768e-05,-1.0,water,-16.578902641832038,-68.8646251017815,1.0,1.6579111676517932e-05,0.13399063,00000000000000000057,0.0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.8646251017815,-16.578902641832038]}"
00000000000000000028_47,0.02195,0.03125,0.0639,0.0676,0.3562,0.16425,0.08305,0.85308456,-3.1794359062198296e-06,-0.009042826,natural,-16.715536396546614,-69.81809694434595,0.3571003,9.221921421986856e-05,0.84404176,00000000000000000028,2.7802885,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.81809694434595,-16.715536396546614]}"
00000000000000000038_87,0.0326,0.0482,0.0783,0.1102,0.161,0.1939,0.1552,0.38864195,-1.899661291049348e-06,-0.0053566396,rocky,-17.073964194910303,-68.31027473995134,0.3347423,2.5759001555436534e-05,0.3832853,00000000000000000038,27.090452,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31027473995134,-17.073964194910303]}"
00000000000000000063_7,0.0801,0.1071,0.1505,0.1773,0.217,0.2506,0.2312,0.2502877,-3.459515323545048e-06,-0.01250271,residential,-16.52473423019963,-68.21999405389732,0.45989975,1.365950852416642e-05,0.23778501,00000000000000000063,1.3399787,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.21999405389732,-16.52473423019963]}"
0000000000000000001d_379,0.08,0.0973,0.1315,0.1686,0.2285,0.247,0.2143,0.2598527,-9.398593220355522e-07,-0.003149923,rocky,-17.427541090739748,-70.13529207116856,0.21411152,1.989895448817336e-05,0.25670278,0000000000000000001d,17.18348,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.13529207116856,-17.427541090739748]}"
0000000000000000021e_0,0.0465,0.0691,0.1146,0.1618,0.2782,0.3175,0.2298,0.6951885,4.6193796144899935e-06,0.01690945,1,-16.649240728578594,-68.52667889189573,0.19061139,5.777901538867036e-05,0.712098,crop_4,2.9434772,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.52667889189573,-16.649240728578594]}"
00000000000000000024_168,0.0591777777777777,0.0745666666666666,0.11125,0.1418,0.17475,0.1778,0.1554,0.16863556,-6.538617222218157e-06,-0.023369176,rocky,-16.977754627981103,-69.89193846070057,0.43488413,1.5159323883962015e-05,0.14526638,00000000000000000024,11.249097,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.89193846070057,-16.977754627981103]}"
00000000000000000199_0,0.0758,0.0982,0.1327,0.1727,0.3014,0.3266,0.2338,0.6742288,3.679540718004581e-06,0.014527081,1,-15.527334770241724,-70.05309622267163,0.6193798,6.443906170683356e-05,0.68875587,crop_614,0.92740995,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.05309622267163,-15.527334770241724]}"
0000000000000000001d_2,0.0683,0.0814,0.1151,0.1459,0.2123,0.2226,0.1898,0.31257784,-1.8197340281300711e-06,-0.00626506,rocky,-17.427002101569276,-70.14095145745851,0.22458866,1.8179104480986474e-05,0.30631277,0000000000000000001d,13.628126,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.14095145745851,-17.427002101569276]}"
0000000000000000001a_135,0.0357,0.0443,0.0648,0.0791,0.1368,0.1553,0.1256,0.43686238,-2.7395739425895016e-06,-0.008887447,rocky,-17.514857336356165,-70.12693773902625,0.20574088,2.2798740112905943e-05,0.42797494,0000000000000000001a,34.401665,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.12693773902625,-17.514857336356165]}"
00000000000000000034_97,0.05895,0.0748,0.1186,0.1562,0.23195,0.3476,0.28535,0.3786007,-2.6595788833461143e-06,-0.008470798,rocky,-16.838425927414168,-68.35986174363474,0.52615964,2.231954199277686e-05,0.37012988,00000000000000000034,8.770018,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.35986174363474,-16.838425927414168]}"
00000000000000000020_196,0.0563,0.0655,0.0926,0.1158,0.2089,0.2609,0.1821,0.4065621,-4.239262201943816e-06,-0.012331317,rocky,-17.45718549511569,-69.98922600597072,0.33619142,2.1499570859340175e-05,0.39423078,00000000000000000020,29.862051,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.98922600597072,-17.45718549511569]}"
0000000000000000004c_62,0.09695,0.11905,0.1734,0.22735,0.3146,0.37945,0.3093,0.8847074,7.599118805323712e-07,0.0032662884,rocky,-17.54504072990258,-68.13240831369568,0.14682673,2.343901553825134e-05,0.88797367,0000000000000000004c,2.0936286,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.13240831369568,-17.54504072990258]}"
0000000000000000007f_7,0.0762666666666666,0.09498,0.1429,0.1626166666666666,0.1784,0.2203333333333333,0.2153,0.100991756,-1.8196860319674717e-06,-0.0053021032,residential,-17.951169069853016,-67.11183231940748,0.28921312,9.559489900778928e-06,0.095689654,0000000000000000007f,0.0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.11183231940748,-17.951169069853016]}"
0000000000000000001a_654,0.0721,0.089,0.1331,0.1669,0.255,0.2922,0.2409,0.3643156,-2.59959108539487e-06,-0.008333334,rocky,-17.510545422992394,-70.12936319029338,0.189812,2.8919243450720167e-05,0.35598227,0000000000000000001a,36.30931,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.12936319029338,-17.510545422992394]}"
0000000000000000001c_39,0.0312,0.03995,0.07065,0.08285,0.32395,0.15695,0.08465,0.73069334,-4.139167616767914e-06,-0.010400442,natural,-17.027880620834974,-70.18999947197143,0.34307453,7.273856549111501e-05,0.7202929,0000000000000000001c,2.149327,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.18999947197143,-17.027880620834974]}"
00000000000000000030_2,0.02965,0.0401,0.0771,0.08645,0.4034,0.18285,0.09895,0.87229043,-1.4417511285058636e-05,-0.043588657,natural,-16.928437118882943,-69.61920994044189,0.7632259,8.519854298078e-05,0.8287018,00000000000000000030,6.8172293,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.61920994044189,-16.928437118882943]}"
00000000000000000054_133,0.0454411764705882,0.0603625,0.084075,0.1133066666666666,0.1888999999999999,0.2560125,0.20005,0.39358914,-4.039241433440033e-06,-0.010873076,rocky,-16.640616901851047,-68.85761824256537,0.35726497,3.1078601419487484e-05,0.38271606,00000000000000000054,6.7481513,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.85761824256537,-16.640616901851047]}"
00000000000000000001_15,0.04125,0.0526230769230769,0.0804083333333333,0.0959,0.2865571428571428,0.2093666666666666,0.1455,0.64234644,-5.119063830383297e-06,-0.014196984,natural,-16.31129451869283,-69.0435695063781,0.6268761,4.533936522010951e-05,0.62814945,00000000000000000001,20.692774,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.0435695063781,-16.31129451869283]}"
0000000000000000007a_0,0.0504904761904761,0.0683666666666666,0.1017357142857142,0.1345857142857142,0.21545,0.28275,0.22175,0.4583368,-1.7796765265920556e-06,-0.0049206614,1,-14.884320689868971,-70.01267203488624,0.5290948,4.043900435141135e-05,0.45341614,crop_408,14.385972,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.01267203488624,-14.884320689868971]}"
