system:index,B1,B2,B3,B4,B5,B6,B7,ampNdvi,baseMsavi,baseNdvi,class,latitude,longitude,maxMndwi,maxMsavi,maxNdvi,poly_id,slope,year_id,.geo
00000000000000000074_0,0.08080000000000001,0.0985,0.1337,0.1731,0.2926,0.3035,0.2389,0.7484208,-1.459808473436297E-6,-0.005595156,1,-15.65453621447305,-69.9364050672645,0.4951775,5.6999025261128544E-5,0.7428256,00000000000000000074,1.3369305,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9364050672645,-15.65453621447305]}"
0000000000000000001d_0,0.0589,0.0738,0.1124,0.1552,0.2363,0.35335000000000005,0.27144999999999997,0.43571478,-5.318943876120308E-6,-0.013578356,1,-17.36771329281739,-68.31404766414464,0.33107236,3.055902269266664E-5,0.42213643,0000000000000000001d,5.547545,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31404766414464,-17.36771329281739]}"
0000000000000000020b_0,0.0634,0.0733,0.10010000000000001,0.1282,0.22740000000000002,0.36010000000000003,0.258,0.58122,-2.6995184072564626E-6,-0.0076249647,1,-14.318382060873672,-70.21883539259167,0.3415484,3.937918954433073E-5,0.573595,0000000000000000020b,3.9921124,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.21883539259167,-14.318382060873672]}"
000000000000000001fc_0,0.0542875,0.06682500000000001,0.08760000000000001,0.11005000000000001,0.17396666666666669,0.2700666666666667,0.2189,0.3359242,-2.479562110413447E-6,-0.0070711677,1,-14.855215274663498,-69.89921481450195,0.5451658,2.649906614815567E-5,0.32885304,000000000000000001fc,9.9368925,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.89921481450195,-14.855215274663498]}"
0000000000000000021e_0,0.0465,0.06910000000000001,0.11460000000000001,0.1618,0.2782,0.3175,0.2298,0.6951885,4.6193796144899935E-6,0.01690945,1,-16.649240728578594,-68.52667889189573,0.19061139,5.777901538867036E-5,0.712098,0000000000000000021e,2.9434772,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.52667889189573,-16.649240728578594]}"
00000000000000000093_0,0.0661,0.0917,0.13470000000000001,0.1781,0.24780000000000002,0.2737,0.21860000000000002,0.24037465,-1.999769827509823E-8,-8.6888525E-5,1,-17.611605892455838,-68.64929892817804,0.47272032,2.5378979231605037E-5,0.24028777,00000000000000000093,3.4546065,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.64929892817804,-17.611605892455838]}"
0000000000000000019d_0,0.064425,0.0732,0.10460000000000001,0.13303333333333334,0.22483333333333336,0.2872,0.24636666666666668,0.54126644,-2.2196728209911143E-6,-0.0075876685,1,-15.386119607578136,-69.9981193272835,0.28636363,2.7119394136299046E-5,0.53367877,0000000000000000019d,7.068855,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9981193272835,-15.386119607578136]}"
00000000000000000057_0,0.048600000000000004,0.057600000000000005,0.09190000000000001,0.1292,0.19460000000000002,0.21050000000000002,0.18560000000000001,0.6093825,-5.698842001855553E-6,-0.014225106,1,-16.688317443437793,-68.70346733981046,0.36516967,2.4579794507872954E-5,0.5951574,00000000000000000057,17.45452,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.70346733981046,-16.688317443437793]}"
000000000000000001e4_0,0.049100000000000005,0.0728,0.11695,0.14205,0.27635,0.28205,0.20915,0.8040543,-3.3395457565976727E-6,-0.01243022,1,-16.25389217203759,-68.4671205885586,0.54680926,5.3278840590642584E-5,0.7916241,000000000000000001e4,2.1422877,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.4671205885586,-16.25389217203759]}"
00000000000000000254_0,0.0627,0.0814,0.117,0.15889999999999999,0.26755,0.3459,0.24195,0.68036467,-6.9786940163352185E-6,-0.019003538,1,-16.48188459114713,-69.39499044552566,0.73715323,4.819940519068533E-5,0.66136116,00000000000000000254,6.072441,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.39499044552566,-16.48188459114713]}"
00000000000000000239_0,0.036500000000000005,0.047200000000000006,0.0695,0.08765,0.19730000000000003,0.25185,0.17099999999999999,0.61056346,-2.1795100472177253E-6,-0.0048723794,1,-14.417825562825703,-70.1573906271579,0.34640443,3.0899532784622874E-5,0.6056911,00000000000000000239,15.959436,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.1573906271579,-14.417825562825703]}"
00000000000000000027_0,0.06455,0.08106,0.1274666666666667,0.16487500000000002,0.2829333333333333,0.2766,0.22710000000000002,0.7155344,7.399045670597459E-7,0.0028604562,1,-15.63621058267701,-70.3603200498405,0.24282737,6.879839826312573E-5,0.7183948,00000000000000000027,3.0317807,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.3603200498405,-15.63621058267701]}"
00000000000000000157_0,0.055,0.0709,0.1087,0.1368,0.248,0.33990000000000004,0.23220000000000002,0.5116112,2.619614496546241E-6,0.008823331,1,-14.346948486908673,-70.1476888220894,0.107624635,4.0239253934204466E-5,0.52043456,00000000000000000157,7.668616,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.1476888220894,-14.346948486908673]}"
