system:index,B1,B2,B3,B4,B5,B6,B7,ampNdvi,baseMsavi,baseNdvi,class,latitude,longitude,maxMndwi,maxMsavi,maxNdvi,poly_id,slope,year_id,.geo
000000000000000003a6_0,0.056900000000000006,0.07225000000000001,0.10935,0.14675,0.24570000000000003,0.34565,0.27490000000000003,0.48811606,9.998293289958937E-7,0.0029205608,1,-15.325483325900068,-69.24003105901504,0.33531705,3.845888003428666E-5,0.49103662,000000000000000003a6,2.1343393,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.24003105901504,-15.325483325900068]}"
00000000000000000374_0,0.06455,0.0805,0.11555,0.1508,0.18625,0.1855,0.1577,0.88423705,-4.839141637180688E-6,-0.015384615,1,-17.028419610005447,-69.76446752188401,0.7077109,1.547923840972132E-5,0.86885244,00000000000000000374,16.489315,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.76446752188401,-17.028419610005447]}"
000000000000000003e3_0,0.0461,0.061900000000000004,0.09480000000000001,0.1232,0.2174,0.27490000000000003,0.2008,0.67353565,-1.3598047866603125E-6,-0.0047592386,1,-14.642045057741935,-70.30992456240139,0.6082753,5.019883733659025E-5,0.6687764,000000000000000003e3,7.225817,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.30992456240139,-14.642045057741935]}"
00000000000000000494_0,0.0371,0.0441,0.065,0.0771,0.13119999999999998,0.1511,0.11950000000000001,0.6872357,-4.299224423243153E-6,-0.012061711,1,-16.80770354469728,-69.85906012130181,0.38015717,1.723911906581499E-5,0.675174,00000000000000000494,11.352253,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.85906012130181,-16.80770354469728]}"
00000000000000000339_0,0.08135,0.10640000000000001,0.14965,0.20255,0.3306,0.3469,0.23870000000000002,0.842594,1.63970636091193E-6,0.004558088,1,-15.65453621447305,-69.9364050672645,0.36099938,8.74988099120455E-5,0.8471521,00000000000000000339,1.3369305,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9364050672645,-15.65453621447305]}"
000000000000000002b5_0,0.06065,0.0799,0.12855,0.17735,0.26405,0.3491,0.26435,0.7673263,-5.83890462790837E-6,-0.015811132,1,-17.36771329281739,-68.31404766414464,0.46477124,3.8739300341150695E-5,0.75151515,000000000000000002b5,5.547545,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31404766414464,-17.36771329281739]}"
00000000000000000546_0,0.058300000000000005,0.07795,0.11635000000000001,0.15835,0.2846,0.36675,0.244,0.7464963,-7.1186144428025955E-6,-0.01863094,1,-14.318382060873672,-70.21883539259167,0.6810907,6.921910424279032E-5,0.7278654,00000000000000000546,3.9921124,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.21883539259167,-14.318382060873672]}"
00000000000000000294_0,0.0303,0.0456,0.0809,0.10700000000000001,0.1827,0.186,0.15460000000000002,0.48725918,-4.13931982978788E-6,-0.012758089,1,-16.637652461413452,-68.82932131111559,0.3422124,2.9339347473733568E-5,0.4745011,00000000000000000294,12.803446,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.82932131111559,-16.637652461413452]}"
000000000000000002ab_0,0.0458,0.0594,0.09190000000000001,0.13295,0.2278,0.24005,0.1976,0.73341954,1.1398490382674709E-6,0.004285392,1,-16.48943043953373,-69.22952077019085,0.60483015,3.2619310405268553E-5,0.73770493,000000000000000002ab,12.213248,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.22952077019085,-16.48943043953373]}"
00000000000000000558_0,0.046700000000000005,0.06670000000000001,0.1119,0.161,0.29410000000000003,0.3149,0.22030000000000002,0.7312588,-4.9191493849409795E-6,-0.014431538,1,-16.649240728578594,-68.52667889189573,0.6333705,7.133888418026091E-5,0.7168273,00000000000000000558,2.9434772,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.52667889189573,-16.649240728578594]}"
