system:index,B1,B2,B3,B4,B5,B6,B7,ampNdvi,baseMsavi,baseNdvi,class,latitude,longitude,maxMndwi,maxMsavi,maxNdvi,poly_id,slope,year_id,.geo
00000000000000000000_0,0.027033333333333333,0.03489166666666667,0.049625,0.05761666666666667,0.2460909090909091,0.13668750000000002,0.084775,0.76611906,-7.0986207477696794E-6,-0.018610748,natural,-16.29431635982297,-69.14489947042678,0.73393935,4.187967667534931E-5,0.7475083,00000000000000000000,23.690426,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.14489947042678,-16.29431635982297]}"
00000000000000000000_1,0.026392857142857145,0.034800000000000005,0.051490909090909094,0.0663625,0.2305,0.14377500000000001,0.09333333333333332,0.7573513,-7.038630432942838E-6,-0.018423531,natural,-16.29431635982297,-69.14462997584155,0.7343573,3.9539697113955E-5,0.7389277,00000000000000000000,23.038748,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.14462997584155,-16.29431635982297]}"
00000000000000000000_2,0.026531250000000003,0.03430000000000001,0.050124999999999996,0.06530000000000001,0.22235833333333335,0.1424166666666667,0.0928,0.7360738,-7.098617341050328E-6,-0.018564032,natural,-16.29431635982297,-69.14436048125631,0.73512477,3.859967883829141E-5,0.71750975,00000000000000000000,21.659847,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.14436048125631,-16.29431635982297]}"
00000000000000000000_3,0.03372000000000001,0.034325,0.050550000000000005,0.06614545454545456,0.234145,0.15398,0.10300000000000001,0.6804709,-7.238588919711297E-6,-0.01892118,natural,-16.29431635982297,-69.14409098667107,0.7366579,3.667961484993265E-5,0.6615497,00000000000000000000,21.355886,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.14409098667107,-16.29431635982297]}"
00000000000000000000_4,0.03535,0.04206,0.063475,0.08138571428571428,0.22460000000000002,0.16964285714285715,0.11929999999999999,0.63989013,-7.278580396063994E-6,-0.019017763,natural,-16.29431635982297,-69.14382149208583,0.73853695,3.387957649092499E-5,0.6208724,00000000000000000000,23.932516,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.14382149208583,-16.29431635982297]}"
00000000000000000000_5,0.027750000000000004,0.03571428571428571,0.058425000000000005,0.07316666666666666,0.22685,0.15811999999999998,0.10806666666666669,0.67764205,-7.118610599543551E-6,-0.018578436,natural,-16.29431635982297,-69.14355199750061,0.7392292,3.5379636284471605E-5,0.65906364,00000000000000000000,26.947079,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.14355199750061,-16.29431635982297]}"
00000000000000000000_6,0.01929000000000001,0.02626842105263158,0.04195714285714285,0.049175,0.24668666666666667,0.1231,0.0690875,0.7772794,-7.0386333885785746E-6,-0.01846412,natural,-16.294046865237735,-69.14489947042678,0.7339281,4.465966593081294E-5,0.7588152,00000000000000000000,21.902376,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.14489947042678,-16.294046865237735]}"
00000000000000000000_7,0.01812857142857143,0.02575833333333333,0.03871413043478261,0.04607222222222222,0.24665000000000004,0.11585000000000001,0.06370000000000002,0.7971272,-7.118614727463779E-6,-0.01863484,natural,-16.294046865237735,-69.14462997584155,0.73461705,4.495966908196758E-5,0.77849233,00000000000000000000,22.39285,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.14462997584155,-16.294046865237735]}"
00000000000000000000_8,0.022787,0.033089999999999994,0.04281,0.05650000000000001,0.24631250000000002,0.12915833333333332,0.07617499999999999,0.7764339,-7.158605943025087E-6,-0.018727768,natural,-16.294046865237735,-69.14436048125631,0.7349166,4.39596579788204E-5,0.7577061,00000000000000000000,20.97491,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.14436048125631,-16.294046865237735]}"
00000000000000000000_9,0.03552222222222223,0.043166666666666666,0.05871250000000001,0.07448,0.2313923076923077,0.1664,0.11382,0.64116025,-7.118614158141412E-6,-0.01862704,natural,-16.294046865237735,-69.14409098667107,0.736133,3.5039571801398495E-5,0.6225332,00000000000000000000,22.390291,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.14409098667107,-16.294046865237735]}"
00000000000000000000_10,0.034350000000000006,0.04185833333333333,0.058018750000000015,0.07504444444444444,0.21361176470588236,0.16938999999999999,0.11556666666666666,0.64584357,-7.398558031668223E-6,-0.019351464,natural,-16.294046865237735,-69.14382149208583,0.7372978,3.385956861445827E-5,0.6264921,00000000000000000000,26.805447,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.14382149208583,-16.294046865237735]}"
00000000000000000000_11,0.02601666666666667,0.032775,0.04897142857142857,0.05673,0.22365,0.1430666666666667,0.088,0.73151386,-7.438548601190753E-6,-0.019435737,natural,-16.294046865237735,-69.14355199750061,0.7378225,3.767967594259236E-5,0.7120781,00000000000000000000,24.490208,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.14355199750061,-16.294046865237735]}"
